Fecha ,Tasa ,IPC
1/01/2007,2238.79,61.80
2/01/2007,2238.79,61.80
3/01/2007,2231.42,61.80
4/01/2007,2218.11,61.80
5/01/2007,2218.05,61.80
6/01/2007,2228.38,61.80
7/01/2007,2228.38,61.80
8/01/2007,2228.38,61.80
9/01/2007,2228.38,61.80
10/01/2007,2238.52,61.80
11/01/2007,2250.60,61.80
12/01/2007,2231.48,61.80
13/01/2007,2221.35,61.80
14/01/2007,2221.35,61.80
15/01/2007,2221.35,61.80
16/01/2007,2221.35,61.80
17/01/2007,2221.96,61.80
18/01/2007,2224.22,61.80
19/01/2007,2226.06,61.80
20/01/2007,2229.29,61.80
21/01/2007,2229.29,61.80
22/01/2007,2229.29,61.80
23/01/2007,2240.32,61.80
24/01/2007,2250.38,61.80
25/01/2007,2254.67,61.80
26/01/2007,2252.88,61.80
27/01/2007,2259.43,61.80
28/01/2007,2259.43,61.80
29/01/2007,2259.43,61.80
30/01/2007,2261.22,61.80
31/01/2007,2259.72,61.80
1/02/2007,2255.17,62.53
2/02/2007,2246.06,62.53
3/02/2007,2241.53,62.53
4/02/2007,2241.53,62.53
5/02/2007,2241.53,62.53
6/02/2007,2229.30,62.53
7/02/2007,2232.37,62.53
8/02/2007,2235.30,62.53
9/02/2007,2239.20,62.53
10/02/2007,2229.87,62.53
11/02/2007,2229.87,62.53
12/02/2007,2229.87,62.53
13/02/2007,2230.40,62.53
14/02/2007,2223.30,62.53
15/02/2007,2221.43,62.53
16/02/2007,2219.15,62.53
17/02/2007,2221.70,62.53
18/02/2007,2221.70,62.53
19/02/2007,2221.70,62.53
20/02/2007,2221.70,62.53
21/02/2007,2220.76,62.53
22/02/2007,2218.78,62.53
23/02/2007,2214.44,62.53
24/02/2007,2216.57,62.53
25/02/2007,2216.57,62.53
26/02/2007,2216.57,62.53
27/02/2007,2211.46,62.53
28/02/2007,2224.12,62.53
1/03/2007,2231.94,63.28
2/03/2007,2246.88,63.28
3/03/2007,2242.62,63.28
4/03/2007,2242.62,63.28
5/03/2007,2242.62,63.28
6/03/2007,2245.71,63.28
